video_id,Deutschland,USA,Kanada,Großbritannien,total
GuR5nYMQ9r8,2.0,0.0,0.0,0.0,2.0
5530I_pYjbo,3.0,8.0,5.0,0.0,16.0
VqBfHwKpkbA,2.0,0.0,0.0,0.0,2.0
UhAKwwjn2f8,2.0,0.0,0.0,0.0,2.0
iu05JKNOhxU,2.0,0.0,0.0,0.0,2.0
LfAZtfAqpxc,1.0,0.0,0.0,0.0,1.0
gjXrm2Q-te4,3.0,2.0,5.0,8.0,18.0
j7HnYUWoGdU,1.0,0.0,0.0,0.0,1.0
7LYTBVUMnj8,2.0,0.0,0.0,0.0,2.0
PL46RTsQMVA,3.0,0.0,0.0,0.0,3.0
oP-6Z1RlaIc,1.0,0.0,1.0,0.0,2.0
1D53CK8hyOo,2.0,0.0,0.0,0.0,2.0
b-ShNqtj8Yw,1.0,0.0,1.0,0.0,2.0
F2MGNXj8HLo,1.0,0.0,0.0,0.0,1.0
ve3oQBjcAGI,2.0,6.0,2.0,6.0,16.0
gFbY974MF88,1.0,0.0,1.0,0.0,2.0
bAkEd8r7Nnw,3.0,8.0,4.0,0.0,15.0
LXDAu8DnALw,2.0,0.0,3.0,0.0,5.0
xdHmuy1RqCg,2.0,0.0,3.0,0.0,5.0
hWHploA0Td8,2.0,0.0,0.0,0.0,2.0
mQbsY2KTFHk,1.0,0.0,1.0,0.0,2.0
Lz_UfCYo3hQ,2.0,0.0,0.0,0.0,2.0
jfs95qoO6tU,1.0,0.0,0.0,0.0,1.0
ItYOdWRo0JY,2.0,7.0,5.0,0.0,14.0
OnqUcPkXxGI,1.0,0.0,0.0,0.0,1.0
5iF7IRbxeJo,1.0,0.0,0.0,0.0,1.0
GK76BjbQnxc,1.0,0.0,0.0,0.0,1.0
j95wFuiDM5o,1.0,0.0,0.0,0.0,1.0
tgRkdR19pl4,2.0,0.0,0.0,0.0,2.0
KQ3GUEFP53U,2.0,0.0,0.0,0.0,2.0
R2ftFltzomA,2.0,0.0,0.0,0.0,2.0
uYEgE2fCuK0,1.0,0.0,0.0,0.0,1.0
iEADbovEawk,1.0,0.0,0.0,0.0,1.0
nQ4bhUfoh2w,2.0,0.0,0.0,0.0,2.0
Wk34UEHDgaY,1.0,0.0,0.0,0.0,1.0
WKMOuDoVxFw,1.0,0.0,1.0,0.0,2.0
thVbpV1LT14,1.0,0.0,0.0,0.0,1.0
dRSiXsYyo0c,1.0,0.0,0.0,0.0,1.0
CtBca6H6Teg,2.0,7.0,3.0,0.0,12.0
Y4EPgngWH2Q,1.0,0.0,0.0,0.0,1.0
_472k8e2hgA,1.0,0.0,0.0,0.0,1.0
f1xLsNNlaVk,1.0,0.0,0.0,0.0,1.0
dLpjfXhytQQ,1.0,0.0,0.0,0.0,1.0
DaQ-rJgeQTw,1.0,0.0,0.0,0.0,1.0
AZ_YIFRxYGk,1.0,0.0,0.0,0.0,1.0
